,ID,DOCUMENT_ID,DOCUMENT_TYPE,FILING_DATE,MODIFIED_AT,DETAIL_JSON.company_name,DETAIL_JSON.parsing_status,avg_sent,sum_sent,hit_count,positive_hits,negative_hits,section_count,word_count
0,5239025,155273630,AR,2021-03-30,2021-06-25 03:41:09,Banco BMG S.A.,WARNING,0.11113020713416884,4.222947871098416,1792,1060,732,126,23379
4,5239026,155273630,AR,2021-03-30,2021-06-25 03:42:20,Banco BMG S.A.,WARNING,0.11113020713416884,4.222947871098416,1792,1060,732,126,23379
13,5241072,153994497,AR,2021-03-04,2021-06-25 12:17:04,"B3 S.A. - Brasil, Bolsa, Balcão",WARNING,0.2306016634687449,8.301659884874816,2438,1435,1003,50,28442
25,5241678,153686928,AR,2021-02-27,2021-06-25 19:04:54,Banco Central do Brasil,WARNING,0.2083419384566067,5.833574276784987,2044,1185,859,51,25562
29,5241685,153686928,AR,2021-02-27,2021-06-25 19:04:13,Banco Central do Brasil,WARNING,0.2083419384566067,5.833574276784987,2044,1185,859,51,25562
33,4008758,150744950,AR,2021-01-06,2021-06-30 09:14:41,São Martinho S.A.,SUCCESS,0.429230735619381,12.018460597342669,2095,1401,694,102,22765
34,4018075,151701665,AR,2021-01-20,2021-06-30 09:12:51,Votorantim S.A.,SUCCESS,0.11435523415505744,13.608272864451836,3342,2095,1247,370,44984
38,4037153,151701665,AR,2021-01-20,2021-06-30 09:10:07,Votorantim S.A.,SUCCESS,0.11435523415505745,13.608272864451838,3342,2095,1247,370,44984
39,4073749,153977687,AR,2021-03-04,2021-07-01 05:57:40,CSU Cardsystem S.A.,WARNING,0.3802124689590537,12.927223944607826,1497,914,583,164,20339
40,4073987,153993107,AR,2021-03-05,2021-07-01 05:57:35,State Street Brasil SA - Banco Comercial,SUCCESS,0.1971904572258542,1.774714115032688,401,227,174,38,4775
41,4075849,154059864,AR,2021-02-19,2021-07-01 05:57:22,Banco Safra SA,WARNING,0.114680412622772,2.752329902946528,2356,1334,1022,39,28680
42,4076574,154144457,AR,2021-03-09,2021-07-01 05:57:12,AES Tietê Energia S.A.,SUCCESS,0.3841206448383398,4.609447738060077,458,335,123,35,6146
43,4946846,156200963,AR,2021-03-31,2021-07-08 06:12:19,M. Dias Branco S.A. Indústria e Comércio de Alimentos,WARNING,1.8740412477279065,22.488494972734877,2829,1998,831,59,30633
44,5100461,21577878,AR,2021-05-11,2021-07-05 10:22:29,"GP Investments, Ltd.",SUCCESS,1.5078354211183145,16.58618963230146,1325,971,354,78,18949
45,5100464,22745762,AR,2021-05-11,2021-07-05 10:22:29,Marcopolo S.A.,WARNING,0.2334306675518906,9.804088037179405,1375,832,543,114,17921
46,5104650,5435949,AR,2021-05-11,2021-07-05 10:23:13,Vale S.A.,WARNING,0.3110679704162042,26.751845455793564,6945,4584,2361,219,90103
48,5104810,5632526,AR,2021-05-11,2021-07-05 10:23:13,Minerações Brasileiras Reunidas S.A.,WARNING,0.365276802411352,36.89295704354655,6612,4009,2603,188,86883
59,5114398,6009322,AR,2021-05-13,2021-07-03 10:49:23,Votorantim S.A.,SUCCESS,0.2493761374590087,4.488770474262156,863,508,355,57,11996
63,5115804,54904833,AR,2021-05-13,2021-07-03 10:49:56,JBS S.A.,SUCCESS,0.20849608381745974,6.254882514523792,1102,673,429,98,15867
64,5119979,5123006,AR,2021-05-13,2021-07-03 10:51:01,Usinas Siderúrgicas de Minas Gerais S.A.,WARNING,0.26799491661023556,3.2159389993228267,1482,837,645,15,17895
65,5126346,3817475,AR,2021-05-14,2021-07-03 10:52:23,BTG Pactual Group,SUCCESS,0.21612806933529072,6.267714010723431,670,410,260,55,9870
66,5127321,5786408,AR,2021-05-14,2021-07-03 10:52:33,Copebras Industria Ltda.,WARNING,0.32635812988133867,46.66921257303143,10729,6607,4122,474,129013
68,5127867,6166629,AR,2021-05-14,2021-07-03 10:53:06,United Goalink,WARNING,0.13351885077504863,2.136301612400778,536,394,142,40,6505
69,5128817,3817473,AR,2021-05-14,2021-07-03 10:53:25,BTG Pactual Group,SUCCESS,0.7996312888191639,4.797787732914983,1010,577,433,33,13485
70,5129334,21870059,AR,2021-05-14,2021-07-03 10:53:34,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A.,WARNING,0.500431995385773,36.03110366777565,3773,2660,1113,185,46115
73,5136780,106336474,AR,2021-05-14,2021-07-03 10:55:00,Votorantim S.A.,SUCCESS,1.6156473224638745,22.619062514494242,3887,2377,1510,51,57503
74,5137211,71541153,AR,2021-05-14,2021-07-03 10:55:16,BTG Pactual Group,WARNING,1.4291757286617346,4.287527185985204,338,247,91,8,3855
