,ID,DOCUMENT_ID,DOCUMENT_TYPE,FILING_DATE,MODIFIED_AT,DETAIL_JSON.company_name,DETAIL_JSON.parsing_status,avg_sent,sum_sent,hit_count,positive_hits,negative_hits,section_count,word_count
0,5236338,13926002,AR,2009-04-14,2021-06-24 07:29:53,Dapai International Holdings Co. Ltd.,SUCCESS,0.856044495968247,21.401112399206177,2366,1694,672,129,29037
8,5236363,40329015,AR,2009-03-31,2021-06-24 07:51:42,People's Food Holdings Ltd.,SUCCESS,0.4450604471643229,14.241934309258333,1602,987,615,151,22983
12,5236391,17658269,AR,2009-04-13,2021-06-24 07:47:46,China Auto Electronics Group Limited,WARNING,0.5293328938981512,17.99731839253714,2518,1678,840,171,32714
18,2974203,69584785,AR,2015-12-31,2021-07-01 05:55:52,"A.S.P Electronic Co., Ltd.",WARNING,0.2772363478575536,45.189524700781234,6361,4077,2284,404,87359
19,4013035,150814002,AR,2021-01-11,2021-06-30 09:13:55,China Export & Credit Insurance Corporation,WARNING,0.3147312459892545,8.812474887699127,1096,777,319,85,11821
20,4013034,150811616,AR,2021-01-11,2021-06-30 09:13:54,China Export & Credit Insurance Corporation,WARNING,0.844740844027056,9.292149284297615,1275,850,425,23,12637
21,4016242,151139899,AR,2021-01-12,2021-06-30 09:13:40,Up Energy Development Group Limited,SUCCESS,0.45009196909338156,17.55358679464188,3061,1695,1366,153,36991
26,4019736,151835137,AR,2021-01-22,2021-06-30 09:12:47,"China Bohai Bank Co., Ltd.",SUCCESS,0.12228355164445318,2.201103929600157,621,365,256,68,8681
27,4019737,151835137,AR,2021-01-22,2021-06-30 09:12:42,"China Bohai Bank Co., Ltd.",SUCCESS,0.1222835516444532,2.2011039296001575,621,365,256,68,8681
28,4028673,151139908,AR,2021-01-12,2021-06-30 09:10:59,Up Energy Development Group Limited,SUCCESS,0.2614712014501037,19.087397705857573,3057,1722,1335,212,37679
33,4028675,151139891,AR,2021-01-12,2021-06-30 09:10:55,Up Energy Development Group Limited,SUCCESS,0.2005832062360575,19.25598779866152,3074,1740,1334,220,37883
38,4032449,152478434,AR,2021-02-03,2021-06-30 09:10:19,"Ping An Insurance (Group) Company of China, Ltd.",WARNING,0.6638357568313444,98.24769201103898,11785,7700,4085,471,121621
40,4032646,152478434,AR,2021-02-03,2021-06-30 09:10:19,"Ping An Insurance (Group) Company of China, Ltd.",WARNING,0.6638357568313444,98.24769201103898,11785,7700,4085,471,121621
42,4033031,152478434,AR,2021-02-03,2021-06-30 09:10:14,"Ping An Insurance (Group) Company of China, Ltd.",WARNING,0.6638357568313444,98.24769201103898,11785,7700,4085,471,121621
44,4033106,152478434,AR,2021-02-03,2021-06-30 09:10:14,"Ping An Insurance (Group) Company of China, Ltd.",WARNING,0.6638357568313444,98.24769201103898,11785,7700,4085,471,121621
46,4037558,152728652,AR,2021-02-07,2021-06-30 09:10:07,Cabbeen Fashion Limited,SUCCESS,0.1355493370308794,11.792792321686509,3004,1804,1200,256,39497
47,4037739,152737574,AR,2021-02-08,2021-06-30 09:10:08,Harmonicare Medical Holdings Limited,SUCCESS,0.2316541705394842,21.54383786017203,3365,1998,1367,202,41022
48,4037741,152737588,AR,2021-02-08,2021-06-30 09:10:03,Harmonicare Medical Holdings Limited,SUCCESS,0.36074553098547485,29.220388009823463,3607,2217,1390,178,44169
49,4038481,152737597,AR,2021-02-08,2021-06-30 09:10:07,Harmonicare Medical Holdings Limited,SUCCESS,0.23165417053948423,21.543837860172033,3365,1998,1367,202,41022
50,4038641,152737641,AR,2021-02-08,2021-06-30 09:10:02,Harmonicare Medical Holdings Limited,SUCCESS,0.36074553098547485,29.220388009823463,3607,2217,1390,178,44169
51,4041543,152891364,AR,2021-02-11,2021-06-30 09:09:57,China Investment Corporation,SUCCESS,1.7372305992363177,48.642456778616896,3441,2555,886,133,34924
52,4055947,153356839,AR,2021-02-22,2021-06-30 09:08:34,Cabbeen Fashion Limited,SUCCESS,0.14978133927578693,11.533163124235594,3005,1802,1203,250,39449
53,4066236,153675422,AR,2021-02-28,2021-06-30 09:08:02,"Yum China Holdings, Inc.",WARNING,0.7506593041244946,38.28362451034922,7192,4107,3085,163,76538
54,4067242,153733002,AR,2021-03-01,2021-07-01 05:55:56,Zai Lab Limited,SUCCESS,1.5678607933090758,40.76438062603597,12358,7448,4910,130,130145
55,4067259,153733002,AR,2021-03-01,2021-07-01 05:55:56,Zai Lab Limited,SUCCESS,0.6127618402405441,15.931807846254147,3947,2619,1328,54,49187
56,4067376,153721475,AR,2021-02-28,2021-06-30 09:07:56,"Changsha Broad Homes Industrial Group Co., Ltd.",SUCCESS,0.28790570648904484,42.32213885388959,5738,3719,2019,424,68670
57,4067473,152729290,AR,2021-02-07,2021-06-30 09:07:55,Cabbeen Fashion Limited,SUCCESS,0.13393208275831828,11.65209119997369,2990,1794,1196,252,39112
58,4075135,154062296,AR,2021-03-08,2021-07-01 05:57:23,JTF International Holdings Limited,SUCCESS,0.03742636704973721,3.7800630720234585,2330,1328,1002,182,28474
59,4075173,154062296,AR,2021-03-08,2021-07-01 05:57:23,JTF International Holdings Limited,SUCCESS,0.03742636704973721,3.7800630720234585,2330,1328,1002,182,28474
60,4115843,154440445,AR,2021-03-15,2021-06-30 09:11:36,CAR Inc.,SUCCESS,0.43470752225063664,54.33844028132958,5865,3703,2162,337,68534
61,4860469,156140835,AR,2021-04-16,2021-07-08 06:05:15,Hilong Holding Limited,WARNING,0.40966431599161607,36.86978843924545,4349,2596,1753,274,53565
62,4942753,156212277,AR,2021-04-18,2021-07-08 06:10:10,"JD.com, Inc.",SUCCESS,2.4578395685565106,105.68710144792996,14459,9242,5217,259,157355
63,4947294,156249449,AR,2021-04-19,2021-07-08 06:12:14,Forgame Holdings Limited,WARNING,0.48474091269769454,42.172459404699424,4769,2909,1860,334,61373
64,4947313,156249703,AR,2021-04-19,2021-07-08 06:12:25,"A-Living Smart City Services Co., Ltd.",SUCCESS,0.4816346035062794,70.31865211191679,5236,3890,1346,438,62043
65,4947336,156249869,AR,2021-04-19,2021-07-08 06:12:31,"TANSH Global Food Group Co., Ltd",SUCCESS,0.5104269140312601,29.604761013813086,4096,2667,1429,169,46562
68,4947343,156249944,AR,2021-04-19,2021-07-08 06:12:31,Centenary United Holdings Limited,SUCCESS,0.35739841419742135,28.94927154999113,3379,2147,1232,225,41453
69,4947352,156250023,AR,2021-04-19,2021-07-08 06:12:35,Honliv Healthcare Management Group Company Limited,SUCCESS,0.29668841737834645,21.95494288599764,2598,1636,962,210,32017
70,4947359,156250078,AR,2021-04-19,2021-07-08 06:12:25,Kingdom Holdings Limited,WARNING,0.1334031716894696,13.073510825568022,3506,2075,1431,240,43010
71,4947363,156250111,AR,2021-04-19,2021-07-08 06:12:30,Honghua Group Limited,SUCCESS,0.2279117806862625,21.423707384508674,4774,2838,1936,285,54050
72,4947365,156250119,AR,2021-04-19,2021-07-08 06:12:35,GHW International,WARNING,0.15246600404764266,14.484270384526052,4105,2419,1686,237,51572
73,4947374,156250192,AR,2021-04-19,2021-07-08 06:12:14,"China Galaxy Securities Co., Ltd.",SUCCESS,1.1863623593605002,61.69084268674601,7411,4727,2684,268,103510
74,4947377,156250208,AR,2021-04-19,2021-07-08 06:12:20,"Guangzhou R&F Properties Co., Ltd.",SUCCESS,0.4582152133070901,43.072230050866466,5496,3486,2010,264,68511
77,4947382,156250269,AR,2021-04-19,2021-07-08 06:12:30,China New City Commercial Development Limited,SUCCESS,0.1998515393073722,29.378176278183716,3696,2303,1393,303,47692
